ont-Crg-CapTrap HpreCap 0+      Mix01Rep1
ont-Crg-CapTrap HpreCap 0+      Mix02Rep1
ont-Crg-CapTrap HpreCap 0+      Mix03Rep1
ont-Ucsc-dRNA   HpreCap 0+      Mix01Rep1
ont-Ucsc-dRNA   HpreCap 0+      Mix02Rep1
ont-Ucsc-dRNA   HpreCap 0+      Mix03Rep1
ont-Ucsc-PcrOnt HpreCap 1+      Mix01Rep1
ont-Ucsc-PcrOnt HpreCap 1+      Mix02Rep1
ont-Ucsc-PcrOnt HpreCap 1+      Mix03Rep1
pacBioSII-Uci-CapTrap   HpreCap 0+      Mix01Rep1
pacBioSII-Uci-CapTrap   HpreCap 0+      Mix02Rep1
pacBioSII-Uci-CapTrap   HpreCap 0+      Mix03Rep1
pacBioSII-Uci-SmartSeq2 HpreCap 0+      Mix01Rep1
pacBioSII-Uci-SmartSeq2 HpreCap 0+      Mix01Rep2
pacBioSII-Uci-SmartSeq2 HpreCap 0+      Mix02Rep1
pacBioSII-Uci-SmartSeq2 HpreCap 0+      Mix02Rep2
pacBioSII-Uci-SmartSeq2 HpreCap 0+      Mix03Rep1
pacBioSII-Uci-SmartSeq2 HpreCap 0+      Mix03Rep2
ont-Crg-CapTrap HpreCap 0+      WTC1101Rep1
ont-Crg-CapTrap HpreCap 0+      WTC1102Rep1
ont-Crg-CapTrap HpreCap 0+      WTC1103Rep1
ont-Ucsc-dRNA   HpreCap 0+      WTC1101Rep1
ont-Ucsc-dRNA   HpreCap 0+      WTC1102Rep1
ont-Ucsc-dRNA   HpreCap 0+      WTC1103Rep1
ont-Ucsc-PcrOnt HpreCap 1+      WTC1101Rep1
ont-Ucsc-PcrOnt HpreCap 1+      WTC1102Rep1
ont-Ucsc-PcrOnt HpreCap 1+      WTC1103Rep1
ont-Ucsc-R2C2   HpreCap 0+      Mix01Rep1
ont-Ucsc-R2C2   HpreCap 0+      Mix02Rep1
ont-Ucsc-R2C2   HpreCap 0+      Mix03Rep1
ont-Ucsc-R2C2   HpreCap 0+      WTC1101Rep1
ont-Ucsc-R2C2   HpreCap 0+      WTC1102Rep1
ont-Ucsc-R2C2   HpreCap 0+      WTC1103Rep1
pacBioSII-Uci-CapTrap   HpreCap 0+      WTC1101Rep1
pacBioSII-Uci-CapTrap   HpreCap 0+      WTC1102Rep1
pacBioSII-Uci-CapTrap   HpreCap 0+      WTC1103Rep1
pacBioSII-Uci-SmartSeq2 HpreCap 0+      WTC1101Rep1
pacBioSII-Uci-SmartSeq2 HpreCap 0+      WTC1101Rep2
pacBioSII-Uci-SmartSeq2 HpreCap 0+      WTC1101Rep3
pacBioSII-Uci-SmartSeq2 HpreCap 0+      WTC1102Rep1
pacBioSII-Uci-SmartSeq2 HpreCap 0+      WTC1102Rep2
pacBioSII-Uci-SmartSeq2 HpreCap 0+      WTC1102Rep3
pacBioSII-Uci-SmartSeq2 HpreCap 0+      WTC1103Rep1
pacBioSII-Uci-SmartSeq2 HpreCap 0+      WTC1103Rep2
pacBioSII-Uci-SmartSeq2 HpreCap 0+      WTC1103Rep3
