noCageNoPolyA 2616713 0.191 ont-Crg-CapTrap 0+ HpreCap Brain03Rep1 All
polyAOnly 5104320 0.373 ont-Crg-CapTrap 0+ HpreCap Brain03Rep1 All
cageAndPolyA 4663416 0.341 ont-Crg-CapTrap 0+ HpreCap Brain03Rep1 All
cageOnly 1304869 0.095 ont-Crg-CapTrap 0+ HpreCap Brain03Rep1 All
noCageNoPolyA 1783208 0.1 ont-Crg-CapTrap 0+ HpreCap Brain03Rep1 Spliced
polyAOnly 4681450 0.4 ont-Crg-CapTrap 0+ HpreCap Brain03Rep1 Spliced
cageAndPolyA 4528576 0.4 ont-Crg-CapTrap 0+ HpreCap Brain03Rep1 Spliced
cageOnly 1011536 0.1 ont-Crg-CapTrap 0+ HpreCap Brain03Rep1 Spliced
noCageNoPolyA 833505 0.5 ont-Crg-CapTrap 0+ HpreCap Brain03Rep1 Unpliced
polyAOnly 422870 0.3 ont-Crg-CapTrap 0+ HpreCap Brain03Rep1 Unpliced
cageAndPolyA 134840 0.1 ont-Crg-CapTrap 0+ HpreCap Brain03Rep1 Unpliced
cageOnly 293333 0.2 ont-Crg-CapTrap 0+ HpreCap Brain03Rep1 Unpliced
noCageNoPolyA 24591 0.397 ont-Crg-dRNA 0+ HpreCap Brain03Rep1 All
polyAOnly 1193 0.019 ont-Crg-dRNA 0+ HpreCap Brain03Rep1 All
cageAndPolyA 1816 0.029 ont-Crg-dRNA 0+ HpreCap Brain03Rep1 All
cageOnly 34419 0.555 ont-Crg-dRNA 0+ HpreCap Brain03Rep1 All
noCageNoPolyA 7571 0.4 ont-Crg-dRNA 0+ HpreCap Brain03Rep1 Spliced
polyAOnly 334 0 ont-Crg-dRNA 0+ HpreCap Brain03Rep1 Spliced
cageAndPolyA 456 0 ont-Crg-dRNA 0+ HpreCap Brain03Rep1 Spliced
cageOnly 10096 0.5 ont-Crg-dRNA 0+ HpreCap Brain03Rep1 Spliced
noCageNoPolyA 17020 0.4 ont-Crg-dRNA 0+ HpreCap Brain03Rep1 Unpliced
polyAOnly 859 0 ont-Crg-dRNA 0+ HpreCap Brain03Rep1 Unpliced
cageAndPolyA 1360 0 ont-Crg-dRNA 0+ HpreCap Brain03Rep1 Unpliced
cageOnly 24323 0.6 ont-Crg-dRNA 0+ HpreCap Brain03Rep1 Unpliced
noCageNoPolyA 996914 0.124 ont-Crg-Telop 0+ HpreCap Brain01Rep3 All
polyAOnly 2781798 0.347 ont-Crg-Telop 0+ HpreCap Brain01Rep3 All
cageAndPolyA 3432297 0.428 ont-Crg-Telop 0+ HpreCap Brain01Rep3 All
cageOnly 800149 0.1 ont-Crg-Telop 0+ HpreCap Brain01Rep3 All
noCageNoPolyA 360009 0.1 ont-Crg-Telop 0+ HpreCap Brain01Rep3 Spliced
polyAOnly 1617973 0.4 ont-Crg-Telop 0+ HpreCap Brain01Rep3 Spliced
cageAndPolyA 1897418 0.5 ont-Crg-Telop 0+ HpreCap Brain01Rep3 Spliced
cageOnly 273123 0.1 ont-Crg-Telop 0+ HpreCap Brain01Rep3 Spliced
noCageNoPolyA 636905 0.2 ont-Crg-Telop 0+ HpreCap Brain01Rep3 Unpliced
polyAOnly 1163825 0.3 ont-Crg-Telop 0+ HpreCap Brain01Rep3 Unpliced
cageAndPolyA 1534879 0.4 ont-Crg-Telop 0+ HpreCap Brain01Rep3 Unpliced
cageOnly 527026 0.1 ont-Crg-Telop 0+ HpreCap Brain01Rep3 Unpliced
noCageNoPolyA 1078720 0.165 ont-Cshl-Smarter 0+ HpreCap Brain01Rep1 All
polyAOnly 3624918 0.553 ont-Cshl-Smarter 0+ HpreCap Brain01Rep1 All
cageAndPolyA 1574390 0.24 ont-Cshl-Smarter 0+ HpreCap Brain01Rep1 All
cageOnly 278260 0.042 ont-Cshl-Smarter 0+ HpreCap Brain01Rep1 All
noCageNoPolyA 252527 0.1 ont-Cshl-Smarter 0+ HpreCap Brain01Rep1 Spliced
polyAOnly 981419 0.5 ont-Cshl-Smarter 0+ HpreCap Brain01Rep1 Spliced
cageAndPolyA 509806 0.3 ont-Cshl-Smarter 0+ HpreCap Brain01Rep1 Spliced
cageOnly 104198 0.1 ont-Cshl-Smarter 0+ HpreCap Brain01Rep1 Spliced
noCageNoPolyA 826193 0.2 ont-Cshl-Smarter 0+ HpreCap Brain01Rep1 Unpliced
polyAOnly 2643499 0.6 ont-Cshl-Smarter 0+ HpreCap Brain01Rep1 Unpliced
cageAndPolyA 1064584 0.2 ont-Cshl-Smarter 0+ HpreCap Brain01Rep1 Unpliced
cageOnly 174062 0 ont-Cshl-Smarter 0+ HpreCap Brain01Rep1 Unpliced
