ont-Crg-CapTrap MpreCap 0+      Brain01Rep1     lncRNA  600538  0.0431574
ont-Crg-CapTrap MpreCap 0+      Brain01Rep1     miRNA   20897   0.00150175
ont-Crg-CapTrap MpreCap 0+      Brain01Rep1     misc_RNA        46833   0.00336564
ont-Crg-CapTrap MpreCap 0+      Brain01Rep1     nonExonic       410667  0.0295124
ont-Crg-CapTrap MpreCap 0+      Brain01Rep1     protein_coding  11279217        0.810577
ont-Crg-CapTrap MpreCap 0+      Brain01Rep1     pseudogene      1549347 0.111343
ont-Crg-CapTrap MpreCap 0+      Brain01Rep1     rRNA    7555    0.000542937
ont-Crg-Telop   MpreCap 0+      Brain01Rep1     lncRNA  459439  0.0496074
ont-Crg-Telop   MpreCap 0+      Brain01Rep1     miRNA   12600   0.00136047
ont-Crg-Telop   MpreCap 0+      Brain01Rep1     misc_RNA        97314   0.0105074
ont-Crg-Telop   MpreCap 0+      Brain01Rep1     nonExonic       279709  0.0302013
ont-Crg-Telop   MpreCap 0+      Brain01Rep1     protein_coding  7939165 0.857222
ont-Crg-Telop   MpreCap 0+      Brain01Rep1     pseudogene      465729  0.0502866
ont-Crg-Telop   MpreCap 0+      Brain01Rep1     rRNA    7545    0.000814663
